Region,Comuna,Apruebo,Rechazo,Total,Apruebo_per,Rechazo_per
MAGALLANES Y ANTÁRTICA CHILENA,PORVENIR,1539,350,1889,81.47167813658021,18.5283218634198
MAGALLANES Y ANTÁRTICA CHILENA,PRIMAVERA,218,35,253,86.16600790513834,13.83399209486166
MAGALLANES Y ANTÁRTICA CHILENA,PUNTA ARENAS,42929,10999,53928,79.60428719774514,20.39571280225486
MAGALLANES Y ANTÁRTICA CHILENA,RIO VERDE,124,58,182,68.13186813186813,31.868131868131865
MAGALLANES Y ANTÁRTICA CHILENA,SAN GREGORIO,130,74,204,63.725490196078425,36.27450980392157
MAGALLANES Y ANTÁRTICA CHILENA,TIMAUKEL,63,30,93,67.74193548387096,32.25806451612903
MAGALLANES Y ANTÁRTICA CHILENA,TORRES DEL PAINE,472,114,586,80.54607508532423,19.453924914675767
MAULE,CATEMU,5199,711,5910,87.96954314720811,12.030456852791877
MAULE,CHAÑARAL,5185,544,5729,90.50445103857567,9.495548961424333
MAULE,COINCO,2616,701,3317,78.86644558335846,21.13355441664154
MAULE,CONCON,15705,8573,24278,64.6881950737293,35.311804926270696
MAULE,CURARREHUE,1740,891,2631,66.1345496009122,33.8654503990878
MAULE,CUREPTO,2793,736,3529,79.14423349390762,20.855766506092376
MAULE,EMPEDRADO,821,676,1497,54.843019372077485,45.15698062792251
MAULE,HUALAÑE,3300,784,4084,80.80313418217435,19.19686581782566
MAULE,LICANTEN,2412,492,2904,83.05785123966942,16.94214876033058
MAULE,LINARES,25896,9813,35709,72.51953289086785,27.48046710913215
MAULE,LONGAVI,5457,2346,7803,69.93464052287581,30.065359477124183
MAULE,MAULE,8355,2454,10809,77.29669719678046,22.70330280321954
MAULE,MOLINA,15425,3657,19082,80.83534220731579,19.164657792684206
MAULE,PARRAL,10252,4520,14772,69.4015705388573,30.5984294611427
MAULE,PELARCO,2589,783,3372,76.77935943060498,23.22064056939502
MAULE,PELLUHUE,1944,952,2896,67.12707182320442,32.87292817679558
MAULE,PENCAHUE,2928,1219,4147,70.60525681215336,29.394743187846633
MAULE,RAUCO,3230,956,4186,77.1619684663163,22.838031533683708
MAULE,RETIRO,3583,1566,5149,69.5863274422218,30.41367255777821
MAULE,RIO CLARO,3655,1087,4742,77.07718262336567,22.92281737663433
MAULE,ROMERAL,4558,1856,6414,71.06329903336452,28.936700966635488
MAULE,SAGRADA FAMILIA,6256,1335,7591,82.41338427084706,17.586615729152943
MAULE,SAN CLEMENTE,11647,3102,14749,78.96806563156824,21.03193436843176
MAULE,SAN JAVIER,11301,4022,15323,73.75187626443908,26.248123735560924
MAULE,SAN RAFAEL,2935,796,3731,78.66523720182256,21.33476279817743
MAULE,TALCA,74985,21588,96573,77.64592587990433,22.354074120095678
MAULE,TENO,8028,2258,10286,78.04783200466655,21.952167995333465
MAULE,VICHUQUEN,1566,649,2215,70.6997742663657,29.30022573363431
MAULE,VILLA ALEGRE,3774,1628,5402,69.86301369863014,30.136986301369863
MAULE,YERBAS BUENAS,3881,1675,5556,69.85241180705543,30.147588192944564
METROPOLITANA DE SANTIAGO,ALHUE,2323,309,2632,88.25987841945289,11.740121580547113
METROPOLITANA DE SANTIAGO,BUIN,33211,7166,40377,82.25227233325903,17.747727666740968
METROPOLITANA DE SANTIAGO,CALERA,20625,3451,24076,85.66622362518692,14.333776374813093
METROPOLITANA DE SANTIAGO,CAUQUENES,8227,4699,12926,63.64691319820517,36.35308680179483
METROPOLITANA DE SANTIAGO,CERRILLOS,31189,5973,37162,83.9271298638394,16.072870136160596
METROPOLITANA DE SANTIAGO,COLCHANE,131,374,505,25.940594059405942,74.05940594059406
METROPOLITANA DE SANTIAGO,CONCEPCION,77042,27049,104091,74.01408383049447,25.98591616950553
METROPOLITANA DE SANTIAGO,CURACAUTIN,3491,2379,5870,59.47189097103919,40.52810902896082
METROPOLITANA DE SANTIAGO,EL BOSQUE,64401,11048,75449,85.35699611658207,14.643003883417938
METROPOLITANA DE SANTIAGO,EL MONTE,12605,2378,14983,84.12867916972569,15.87132083027431
METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,52748,9905,62653,84.19070116355162,15.809298836448374
METROPOLITANA DE SANTIAGO,HUECHURABA,37153,8562,45715,81.27091764191185,18.729082358088156
METROPOLITANA DE SANTIAGO,INDEPENDENCIA,31280,6991,38271,81.73290481043087,18.267095189569122
METROPOLITANA DE SANTIAGO,ISLA DE MAIPO,12381,2765,15146,81.74435494520004,18.255645054799945
METROPOLITANA DE SANTIAGO,LA CISTERNA,37228,8475,45703,81.45635953876113,18.54364046123887
METROPOLITANA DE SANTIAGO,LA FLORIDA,152537,28587,181124,84.21689008634968,15.783109913650318
METROPOLITANA DE SANTIAGO,LA GRANJA,49991,7031,57022,87.66967135491565,12.330328645084352
METROPOLITANA DE SANTIAGO,LA PINTANA,63381,8262,71643,88.46781960554415,11.532180394455843
METROPOLITANA DE SANTIAGO,LA REINA,39979,19003,58982,67.78169611067784,32.218303889322165
METROPOLITANA DE SANTIAGO,LAMPA,25871,5369,31240,82.81370038412292,17.186299615877083
METROPOLITANA DE SANTIAGO,LAS CONDES,73354,92423,165777,44.24859902157718,55.751400978422815
METROPOLITANA DE SANTIAGO,LO BARNECHEA,21111,33902,55013,38.37456601166997,61.62543398833004
METROPOLITANA DE SANTIAGO,LO ESPEJO,44656,5717,50373,88.6506660314057,11.349333968594287
METROPOLITANA DE SANTIAGO,LO PRADO,44371,6697,51068,86.88611263413489,13.113887365865121
METROPOLITANA DE SANTIAGO,MACUL,49338,10380,59718,82.61830603838038,17.38169396161961
METROPOLITANA DE SANTIAGO,MAIPU,208642,33531,242173,86.15411296882807,13.84588703117193
METROPOLITANA DE SANTIAGO,MARIA PINTO,4424,1022,5446,81.23393316195373,18.76606683804627
METROPOLITANA DE SANTIAGO,MELIPILLA,34520,8156,42676,80.88855562845627,19.111444371543726
METROPOLITANA DE SANTIAGO,ÑIQUEN,2003,1228,3231,61.993190962550294,38.006809037449706
METROPOLITANA DE SANTIAGO,PADRE HURTADO,22498,3501,25999,86.53409746528713,13.465902534712873
METROPOLITANA DE SANTIAGO,PAINE,22638,5141,27779,81.49321429857086,18.506785701429138
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,48460,6883,55343,87.56301609959706,12.436983900402941
METROPOLITANA DE SANTIAGO,PEÑAFLOR,36885,6127,43012,85.75513810099508,14.24486189900493
METROPOLITANA DE SANTIAGO,PEÑALOLEN,96287,18187,114474,84.1125495745759,15.887450425424113
METROPOLITANA DE SANTIAGO,PIRQUE,10055,2994,13049,77.05571308146219,22.944286918537816
METROPOLITANA DE SANTIAGO,PROVIDENCIA,58694,32748,91442,64.18713501454474,35.81286498545526
METROPOLITANA DE SANTIAGO,PUDAHUEL,87139,12161,99300,87.7532729103726,12.246727089627392
METROPOLITANA DE SANTIAGO,PUENTE ALTO,200905,26822,227727,88.22186214195067,11.77813785804933
METROPOLITANA DE SANTIAGO,QUILICURA,73637,10150,83787,87.88594889421987,12.114051105780133
METROPOLITANA DE SANTIAGO,QUINTA NORMAL,46560,8209,54769,85.01159414997535,14.98840585002465
METROPOLITANA DE SANTIAGO,RECOLETA,64187,11638,75825,84.65150016485327,15.34849983514672
METROPOLITANA DE SANTIAGO,RENCA,57523,7207,64730,88.86605901436737,11.133940985632627
METROPOLITANA DE SANTIAGO,SAN BERNARDO,101606,17609,119215,85.2292077339261,14.7707922660739
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,41800,6210,48010,87.06519475109353,12.934805248906478
METROPOLITANA DE SANTIAGO,SAN JOSE DE MAIPO,7506,1373,8879,84.53654690843564,15.463453091564366
METROPOLITANA DE SANTIAGO,SAN MIGUEL,45864,10513,56377,81.35232452950672,18.647675470493287
METROPOLITANA DE SANTIAGO,SAN PEDRO,2374,629,3003,79.05427905427905,20.945720945720947
METROPOLITANA DE SANTIAGO,SAN RAMON,38991,5951,44942,86.75848871879312,13.241511281206888
METROPOLITANA DE SANTIAGO,SANTIAGO,119024,30102,149126,79.81438515081206,20.185614849187935
METROPOLITANA DE SANTIAGO,TALAGANTE,27630,6531,34161,80.88170720997628,19.118292790023713
METROPOLITANA DE SANTIAGO,TILTIL,6788,1213,8001,84.83939507561556,15.160604924384453
METROPOLITANA DE SANTIAGO,VITACURA,19850,40219,60069,33.04533120245052,66.95466879754949
ÑUBLE,BULNES,5574,2163,7737,72.04342768514928,27.95657231485072
ÑUBLE,CHILE CHICO,1397,279,1676,83.35322195704057,16.646778042959426
ÑUBLE,CHILLAN,53981,21166,75147,71.833872277003735,28.166127722996258
ÑUBLE,CISNES,1206,525,1731,69.67071057192375,30.329289428076255
ÑUBLE,CODEGUA,5034,871,5905,85.2497883149873,14.750211685012701
ÑUBLE,COELEMU,4538,2202,6740,67.32937685459942,32.6706231454006
ÑUBLE,EL CARMEN,2390,1353,3743,63.85252471279722,36.14747528720278
ÑUBLE,NAVIDAD,2322,568,2890,80.34602076124567,19.653979238754328
ÑUBLE,NEGRETE,2287,1361,3648,62.69188596491229,37.30811403508772
ÑUBLE,PEMUCO,1935,924,2859,67.68100734522561,32.3189926547744
ÑUBLE,PINTO,2235,2014,4249,52.60061190868439,47.3993880913156
ÑUBLE,PORTEZUELO,1420,606,2026,70.0888450148075,29.911154985192496
ÑUBLE,QUILLON,4072,1793,5865,69.42881500426257,30.571184995737426
ÑUBLE,QUIRIHUE,3159,781,3940,80.17766497461929,19.82233502538071
ÑUBLE,RANQUIL,1505,672,2177,69.13183279742765,30.86816720257235
ÑUBLE,SAN CARLOS,12268,5729,17997,68.16691670834028,31.83308329165972
ÑUBLE,SAN FABIAN,1364,516,1880,72.5531914893617,27.4468085106383
ÑUBLE,SAN IGNACIO,3255,1648,4903,66.38792575973893,33.612074240261066
ÑUBLE,SAN NICOLAS,3334,1352,4686,71.14810072556551,28.851899274434484
ÑUBLE,TREHUACO,1569,528,2097,74.8211731044349,25.17882689556509
ÑUBLE,YUNGAY,5262,1584,6846,76.8624014022787,23.137598597721297
TARAPACÁ,ALTO HOSPICIO,21373,4608,25981,82.26396212616912,17.736037873830877
TARAPACÁ,CAMARONES,756,159,915,82.62295081967214,17.37704918032787
